"team","lineup","win_rate"
"BOS","Pavel Zacha, Casey Mittelstadt, Elias Lindholm",0.5931
"BOS","Elias Lindholm, Pavel Zacha, David Pastrňák",0.5931
"CBJ","Sean Monahan, Yegor Chinakhov, James van Riemsdyk",0.5985
"CBJ","Christian Fischer, James van Riemsdyk, Boone Jenner",0.5967
"CBJ","James van Riemsdyk, Boone Jenner, Sean Monahan",0.5966
"SEA","Eeli Tolvanen, Jared McCann, André Burakovsky",0.5958
"SEA","Eeli Tolvanen, Jared McCann, Kaapo Kakko",0.5908
"SEA","Eeli Tolvanen, Kaapo Kakko, Chandler Stephenson",0.5903
"PHI","Matvei Michkov, Travis Konecny, Sean Couturier",0.5817
"PHI","Tyson Foerster, Matvei Michkov, Sean Couturier",0.5767
"PHI","Matvei Michkov, Bobby Brink, Travis Konecny",0.5741
