"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Riley Stillman"," 0.21550797","  0.2524831593",1,"CAR"
"Ryan Suzuki"," 0.20408395","  0.0538502261",1,"CAR"
"Joey Daccord"," 0.20120366","  0.7711089253",1,"SEA"
"Filip Gustavsson"," 0.19737537","  0.4122543633",1,"MIN"
"Alex Nedeljkovic"," 0.13917555","  0.2459198087",1,"PIT"
"Grigori Denisenko"," 0.13584030","  0.0920576081",1,"VGK"
"Riley Tufte"," 0.10260443","  0.2484798431",1,"BOS"
"Jack Finley"," 0.09707593","  0.2951948345",1,"TBL"
"Mackenzie Blackwood"," 0.08361328","  0.0006218072",1,"COL"
"Igor Shesterkin"," 0.07867485","  0.0159197431",1,"NYR"
"Travis Boyd"," 0.07460900","  0.1710030586",1,"MIN"
"James Malatesta"," 0.05700816","  0.2947039902",1,"CBJ"
