"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Marat Khusnutdinov","10.92838926"," 17.0001300042",56,"BOS"
"Liam Ohgren","10.86915412"," 12.8961915523",49,"MIN"
"Denton Mateychuk","10.82354002"," 11.5563367276",49,"CBJ"
"Erik Brannstrom","10.81361059"," 10.6607267061",49,"VAN"
"Cam Atkinson","10.74670850"," 13.6262110003",50,"TBL"
"Jeff Petry","10.74422537"," 12.6818143185",46,"DET"
"Christian Fischer","10.56358176"," 17.9996397160",48,"CBJ"
"Urho Vaakanainen","10.50505992"," 10.2637626438",57,"NYR"
"Vinni Lettieri","10.33551328"," 17.5803658628",46,"BOS"
"Klim Kostin","10.26793637"," 13.9887699746",42,"SJS"
"Jimmy Vesey","10.24581491"," 13.5276387262",49,"COL"
"Justin Dowling","10.21953948"," 13.9525418951",51,"NJD"
"Drew Doughty","10.20959541"," 10.2674699756",50,"LAK"
"TJ Brodie","10.09987622"," 12.4410132505",46,"CHI"
"Jonah Gadjovich","10.09022401"," 16.8731320431",48,"FLA"
"Matt Rempe","10.00996351"," 12.9166936353",38,"NYR"
"Parker Wotherspoon","10.00241986"," 11.0275560370",52,"BOS"
"Mikael Pyyhtia"," 9.94640627"," 14.0685357237",44,"CBJ"
"Sam Lafferty"," 9.85666854"," 14.9539861313",54,"BUF"
"Sam Colangelo"," 9.80489691"," 13.5027218889",43,"ANA"
"Brock McGinn"," 9.78516843"," 14.2440895261",38,"ANA"
"Louis Crevier"," 9.76884888"," 12.2880878453",44,"CHI"
"Tyson Jost"," 9.74619040"," 14.3426678086",38,"CAR"
"Lian Bichsel"," 9.70975479","  7.3866629279",39,"DAL"
"Tyler Tucker"," 9.62966691"," 11.1560398065",47,"STL"
"Jesse Puljujarvi"," 9.58885301"," 15.7162335064",60,"PIT"
"Oskar Back"," 9.51409377"," 14.4397662142",49,"DAL"
"Landon Slaggert"," 9.50796294"," 14.7344099430",37,"CHI"
"Jonathan Lekkerimaki"," 9.48977936"," 12.2638595626",39,"VAN"
"Matt Nieto"," 9.28907639"," 15.2485473021",37,"PIT"
"Adam Wilsby"," 9.21509532"," 12.4764243606",45,"NSH"
"Shakir Mukhamadullin"," 9.14792652"," 11.6392711559",42,"SJS"
"Ben Jones"," 9.00334437"," 11.5615618620",41,"MIN"
"Jeremy Lauzon"," 8.77905143"," 11.9067658614",40,"NSH"
"Brendan Smith"," 8.56679683"," 10.5219886662",39,"DAL"
"Jack Thompson"," 8.55361284","  9.6470847982",45,"SJS"
"Zack Ostapchuk"," 8.54413555"," 12.0831989362",35,"OTT"
"Sean Durzi"," 8.48506863"," 12.6422905885",42,"UTA"
"Samuel Helenius"," 8.47692323"," 10.2088638062",37,"LAK"
"Jack Johnson"," 8.35538536"," 10.3394436000",34,"CBJ"
"Curtis Lazar"," 8.30139679"," 10.3404140231",36,"NJD"
"Matthew Highmore"," 8.19443098"," 12.5659542280",44,"OTT"
"Colton Dach"," 8.17435989"," 14.2874313667",39,"CHI"
"Noah Juulsen"," 8.17297984"," 12.0059537474",36,"VAN"
"Mike Reilly"," 8.16301544","  8.9327377438",42,"NYI"
"Collin Graf"," 8.12161514"," 11.0438770353",40,"SJS"
"P.O Joseph"," 8.07801837","  9.7797940462",32,"PIT"
"Dennis Cholowski"," 7.83272273"," 10.8627924090",42,"NJD"
"Isaiah George"," 7.82225059","  6.8269843064",37,"NYI"
"Jacob Moverare"," 7.77818571","  6.7575258405",38,"LAK"
"Chris Wagner"," 7.76357912"," 11.5374230514",36,"COL"
"Marc Gatcomb"," 7.68692983"," 10.7770022298",31,"NYI"
"Jordan Oesterle"," 7.61214154","  9.8569166195",41,"NSH"
"Erik Johnson"," 7.58259647","  7.8603262021",33,"COL"
"Jacob Bernard-Docker"," 7.52617285"," 10.9834142067",36,"BUF"
"Nolan Allan"," 7.45612071","  8.4919313695",33,"CHI"
"Nicolas Aube-Kubel"," 7.42263916","  9.3046101038",29,"BUF"
"Max Sasson"," 7.40532103"," 10.8958555209",30,"VAN"
"Victor Mancini"," 7.36219821"," 10.1643938888",34,"VAN"
"Anthony Mantha"," 7.33029589","  9.7556054797",28,"CGY"
"Fraser Minten"," 7.28109669"," 10.3220411647",29,"TOR"
"Hudson Fasching"," 7.22243514","  9.8220865838",39,"NYI"
"Anthony Richard"," 7.19790349","  9.6286271363",31,"PHI"
"Rodrigo Abols"," 7.13158806"," 11.5795027213",30,"PHI"
"Kaedan Korczak"," 7.11239993","  8.3142397311",36,"VGK"
"David Gustafsson"," 7.01394844"," 11.3591237991",38,"WPG"
"Zack MacEwen"," 6.97419688","  9.5796303764",35,"OTT"
"Ethen Frank"," 6.92341708","  9.2106443351",32,"WSH"
"John Marino"," 6.65890337","  8.9513289994",35,"UTA"
"Arthur Kaliyev"," 6.59165185","  9.4763030378",27,"NYR"
"Maveric Lamoureux"," 6.56287113","  7.4932994572",28,"UTA"
"Hendrix Lapierre"," 6.55175251"," 10.1500593368",28,"WSH"
