"Season","Team","GP","W","L","PTS","PCT","GF","GA","PP.","PK.","League","MemorialCupYear","MemorialCupWinner","CleanedTeam","TeamYearID"
"14_15","Owen Sound x - Owen Sound Attack",68,35,24,79,0.581,240,211,0.244,0.793,"OHL",2015,"0","Owen Sound Attack","Owen Sound Attack_2015"
"14_15","IceDogs x - Niagara IceDogs",68,37,27,78,0.574,274,237,0.216,0.818,"OHL",2015,"0","Niagara IceDogs","Niagara IceDogs_2015"
"14_15","Kitchener x - Kitchener Rangers",68,32,26,74,0.544,216,221,0.201,0.804,"OHL",2015,"0","Kitchener Rangers","Kitchener Rangers_2015"
"14_15","Kingston x - Kingston Frontenacs",68,32,28,72,0.529,196,197,0.193,0.816,"OHL",2015,"0","Kingston Frontenacs","Kingston Frontenacs_2015"
"14_15","Sarnia x - Sarnia Sting",68,29,32,65,0.478,232,263,0.165,0.767,"OHL",2015,"0","Sarnia Sting","Sarnia Sting_2015"
"14_15","Belleville x - Belleville Bulls",68,27,33,62,0.456,203,246,0.145,0.76,"OHL",2015,"0","Belleville Bulls","Belleville Bulls_2015"
"14_15","Saginaw x - Saginaw Spirit",68,29,36,61,0.449,212,271,0.159,0.786,"OHL",2015,"0","Saginaw Spirit","Saginaw Spirit_2015"
"14_15","Peterborough x - Peterborough Petes",68,26,36,58,0.426,203,268,0.176,0.77,"OHL",2015,"0","Peterborough Petes","Peterborough Petes_2015"
"14_15","Steelheads Mississauga Steelheads",68,25,40,53,0.39,178,265,0.159,0.78,"OHL",2015,"0","Steelheads Mississauga Steelheads","Steelheads Mississauga Steelheads_2015"
"14_15","Plymouth Plymouth Whalers",68,23,38,53,0.39,195,255,0.191,0.769,"OHL",2015,"0","Plymouth Whalers","Plymouth Whalers_2015"
"14_15","Windsor Windsor Spitfires",68,24,40,52,0.382,223,305,0.212,0.722,"OHL",2015,"0","Windsor Spitfires","Windsor Spitfires_2015"
"14_15","Sudbury Sudbury Wolves",68,12,54,26,0.191,149,323,0.134,0.774,"OHL",2015,"0","Sudbury Wolves","Sudbury Wolves_2015"
"15_16","Otters xyz - Erie Otters",68,52,15,105,0.772,269,183,0.253,0.826,"OHL",2016,"0","Erie Otters","Erie Otters_2016"
"15_16","Frontenacs xy - Kingston Frontenacs",68,46,17,97,0.713,252,189,0.215,0.835,"OHL",2016,"0","Kingston Frontenacs","Kingston Frontenacs_2016"
"15_16","Sting xy - Sarnia Sting",68,42,19,91,0.669,254,192,0.193,0.843,"OHL",2016,"0","Sarnia Sting","Sarnia Sting_2016"
"15_16","Colts xy - Barrie Colts",68,43,22,89,0.654,295,207,0.217,0.834,"OHL",2016,"0","Barrie Colts","Barrie Colts_2016"
"15_16","Knights x - London Knights",68,51,14,105,0.772,319,182,0.291,0.823,"OHL",2016,"1","London Knights","London Knights_2016"
"15_16","Rangers x - Kitchener Rangers",68,44,17,95,0.699,256,197,0.222,0.801,"OHL",2016,"0","Kitchener Rangers","Kitchener Rangers_2016"
"15_16","Spitfires x - Windsor Spitfires",68,40,21,87,0.64,253,200,0.236,0.794,"OHL",2016,"0","Windsor Spitfires","Windsor Spitfires_2016"
"15_16","Battalion x - North Bay Battalion",68,35,23,80,0.588,240,227,0.188,0.815,"OHL",2016,"0","North Bay Battalion","North Bay Battalion_2016"
"15_16","IceDogs x - Niagara IceDogs",68,35,26,77,0.566,213,198,0.191,0.842,"OHL",2016,"0","Niagara IceDogs","Niagara IceDogs_2016"
"15_16","67 x - Ottawa 67's",68,36,29,75,0.551,234,219,0.196,0.797,"OHL",2016,"0","Ottawa 67's","Ottawa 67's_2016"
"15_16","Attack x - Owen Sound Attack",68,32,25,75,0.551,209,222,0.194,0.82,"OHL",2016,"0","Owen Sound Attack","Owen Sound Attack_2016"
"15_16","Greyhounds x - Sault Ste. Marie Greyhounds",68,33,27,74,0.544,243,233,0.194,0.79,"OHL",2016,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_2016"
"15_16","Petes x - Peterborough Petes",68,33,28,73,0.537,240,259,0.148,0.753,"OHL",2016,"0","Peterborough Petes","Peterborough Petes_2016"
"15_16","Steelheads x - Mississauga Steelheads",68,33,30,71,0.522,215,229,0.192,0.794,"OHL",2016,"0","Mississauga Steelheads","Mississauga Steelheads_2016"
"15_16","Generals x - Oshawa Generals",68,27,33,62,0.456,197,235,0.199,0.766,"OHL",2016,"0","Oshawa Generals","Oshawa Generals_2016"
"15_16","Bulldogs Hamilton Bulldogs",68,25,35,58,0.426,197,260,0.17,0.804,"OHL",2016,"0","Bulldogs Hamilton Bulldogs","Bulldogs Hamilton Bulldogs_2016"
"15_16","Spirit x - Saginaw Spirit",68,24,36,56,0.412,209,282,0.163,0.811,"OHL",2016,"0","Saginaw Spirit","Saginaw Spirit_2016"
"15_16","Firebirds Flint Firebirds",68,20,42,46,0.338,184,279,0.139,0.755,"OHL",2016,"0","Firebirds Flint Firebirds","Firebirds Flint Firebirds_2016"
"15_16","Wolves Sudbury Wolves",68,16,46,38,0.279,183,328,0.161,0.787,"OHL",2016,"0","Wolves Sudbury Wolves","Wolves Sudbury Wolves_2016"
"15_16","Storm Guelph Storm",68,13,49,32,0.235,156,297,0.154,0.764,"OHL",2016,"0","Storm Guelph Storm","Storm Guelph Storm_2016"
"16_17","Otters xyz - Erie Otters",68,50,15,103,0.757,319,182,0.272,0.834,"OHL",2017,"0","Erie Otters","Erie Otters_2017"
"16_17","Greyhounds xy - Sault Ste. Marie Greyhounds",68,48,16,100,0.735,287,208,0.183,0.842,"OHL",2017,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_2017"
"16_17","Petes xy - Peterborough Petes",68,42,21,89,0.654,239,221,0.206,0.807,"OHL",2017,"0","Peterborough Petes","Peterborough Petes_2017"
"16_17","Steelheads xy - Mississauga Steelheads",68,34,21,81,0.596,240,219,0.197,0.806,"OHL",2017,"0","Mississauga Steelheads","Mississauga Steelheads_2017"
"16_17","Attack x - Owen Sound Attack",68,49,15,102,0.75,297,177,0.284,0.835,"OHL",2017,"0","Owen Sound Attack","Owen Sound Attack_2017"
"16_17","Knights x - London Knights",68,46,15,99,0.728,289,194,0.264,0.81,"OHL",2017,"0","London Knights","London Knights_2017"
"16_17","Spitfires x - Windsor Spitfires",68,41,19,90,0.662,232,185,0.229,0.885,"OHL",2017,"1","Windsor Spitfires","Windsor Spitfires_2017"
"16_17","Generals x - Oshawa Generals",68,40,23,85,0.625,228,215,0.188,0.831,"OHL",2017,"0","Oshawa Generals","Oshawa Generals_2017"
"16_17","Rangers x - Kitchener Rangers",68,36,27,77,0.566,244,251,0.216,0.777,"OHL",2017,"0","Kitchener Rangers","Kitchener Rangers_2017"
"16_17","Frontenacs x - Kingston Frontenacs",68,33,26,75,0.551,179,200,0.221,0.781,"OHL",2017,"0","Kingston Frontenacs","Kingston Frontenacs_2017"
"16_17","Bulldogs x - Hamilton Bulldogs",68,33,27,74,0.544,238,225,0.202,0.777,"OHL",2017,"0","Hamilton Bulldogs","Hamilton Bulldogs_2017"
"16_17","Firebirds x - Flint Firebirds",68,32,28,72,0.529,229,242,0.145,0.799,"OHL",2017,"0","Flint Firebirds","Flint Firebirds_2017"
"16_17","Sting x - Sarnia Sting",68,31,30,69,0.507,257,277,0.188,0.778,"OHL",2017,"0","Sarnia Sting","Sarnia Sting_2017"
"16_17","Spirit Saginaw Spirit",68,27,32,63,0.463,204,248,0.165,0.784,"OHL",2017,"0","Spirit Saginaw Spirit","Spirit Saginaw Spirit_2017"
"16_17","Wolves x - Sudbury Wolves",68,27,34,61,0.449,207,265,0.178,0.817,"OHL",2017,"0","Sudbury Wolves","Sudbury Wolves_2017"
"16_17","67 x - Ottawa 67's",68,26,34,60,0.441,221,271,0.18,0.791,"OHL",2017,"0","Ottawa 67's","Ottawa 67's_2017"
"16_17","IceDogs x - Niagara IceDogs",68,23,35,56,0.412,207,274,0.155,0.771,"OHL",2017,"0","Niagara IceDogs","Niagara IceDogs_2017"
"16_17","Battalion North Bay Battalion",68,24,38,54,0.397,192,261,0.16,0.792,"OHL",2017,"0","Battalion North Bay Battalion","Battalion North Bay Battalion_2017"
"16_17","Storm Guelph Storm",68,21,40,49,0.36,202,297,0.191,0.779,"OHL",2017,"0","Storm Guelph Storm","Storm Guelph Storm_2017"
"16_17","Colts Barrie Colts",68,17,44,41,0.301,192,291,0.131,0.789,"OHL",2017,"0","Colts Barrie Colts","Colts Barrie Colts_2017"
"17_18","Greyhounds xyz - Sault Ste. Marie Greyhounds",68,55,7,116,0.853,317,186,0.248,0.82,"OHL",2018,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_2018"
"17_18","Bulldogs xyz - Hamilton Bulldogs",68,43,18,93,0.684,252,207,0.246,0.771,"OHL",2018,"0","Hamilton Bulldogs","Hamilton Bulldogs_2018"
"17_18","Rangers xy - Kitchener Rangers",68,43,21,90,0.662,246,218,0.207,0.829,"OHL",2018,"0","Kitchener Rangers","Kitchener Rangers_2018"
"17_18","Colts xy - Barrie Colts",68,42,21,89,0.654,297,229,0.228,0.793,"OHL",2018,"0","Barrie Colts","Barrie Colts_2018"
"17_18","Sting x - Sarnia Sting",68,46,17,97,0.713,299,213,0.242,0.885,"OHL",2018,"0","Sarnia Sting","Sarnia Sting_2018"
"17_18","Attack x - Owen Sound Attack",68,38,22,84,0.618,289,247,0.218,0.801,"OHL",2018,"0","Owen Sound Attack","Owen Sound Attack_2018"
"17_18","Knights x - London Knights",68,39,25,82,0.603,233,212,0.182,0.805,"OHL",2018,"0","London Knights","London Knights_2018"
"17_18","Frontenacs x - Kingston Frontenacs",68,36,23,81,0.596,243,202,0.257,0.847,"OHL",2018,"0","Kingston Frontenacs","Kingston Frontenacs_2018"
"17_18","IceDogs x - Niagara IceDogs",68,35,23,80,0.588,240,235,0.195,0.801,"OHL",2018,"0","Niagara IceDogs","Niagara IceDogs_2018"
"17_18","Generals x - Oshawa Generals",68,36,29,75,0.551,250,243,0.188,0.749,"OHL",2018,"0","Oshawa Generals","Oshawa Generals_2018"
"17_18","Spitfires x - Windsor Spitfires",68,32,30,70,0.515,214,224,0.181,0.812,"OHL",2018,"0","Windsor Spitfires","Windsor Spitfires_2018"
"17_18","Battalion x - North Bay Battalion",68,30,28,70,0.515,213,237,0.199,0.792,"OHL",2018,"0","North Bay Battalion","North Bay Battalion_2018"
"17_18","Steelheads x - Mississauga Steelheads",68,33,32,69,0.507,251,250,0.255,0.784,"OHL",2018,"0","Mississauga Steelheads","Mississauga Steelheads_2018"
"17_18","Storm x - Guelph Storm",68,30,29,69,0.507,228,263,0.222,0.797,"OHL",2018,"0","Guelph Storm","Guelph Storm_2018"
"17_18","67 x - Ottawa 67's",68,30,29,69,0.507,225,260,0.164,0.787,"OHL",2018,"0","Ottawa 67's","Ottawa 67's_2018"
"17_18","Spirit x - Saginaw Spirit",68,29,30,67,0.493,196,238,0.147,0.788,"OHL",2018,"0","Saginaw Spirit","Saginaw Spirit_2018"
"17_18","Otters Erie Otters",68,23,35,56,0.412,220,270,0.19,0.792,"OHL",2018,"0","Otters Erie Otters","Otters Erie Otters_2018"
"17_18","Petes Peterborough Petes",68,23,39,52,0.382,222,283,0.207,0.767,"OHL",2018,"0","Petes Peterborough Petes","Petes Peterborough Petes_2018"
"17_18","Firebirds Flint Firebirds",68,20,43,45,0.331,194,316,0.169,0.732,"OHL",2018,"0","Firebirds Flint Firebirds","Firebirds Flint Firebirds_2018"
"17_18","Wolves Sudbury Wolves",68,17,42,43,0.316,197,291,0.163,0.748,"OHL",2018,"0","Wolves Sudbury Wolves","Wolves Sudbury Wolves_2018"
"18_19","67 xyz - Ottawa 67's",68,50,12,106,0.779,296,183,0.232,0.775,"OHL",2019,"0","Ottawa 67's","Ottawa 67's_2019"
"18_19","Knights xy - London Knights",68,46,15,99,0.728,299,211,0.231,0.858,"OHL",2019,"0","London Knights","London Knights_2019"
"18_19","Spirit xy - Saginaw Spirit",68,45,17,96,0.706,294,218,0.225,0.829,"OHL",2019,"0","Saginaw Spirit","Saginaw Spirit_2019"
"18_19","IceDogs xy - Niagara IceDogs",68,44,17,95,0.699,326,209,0.281,0.772,"OHL",2019,"0","Niagara IceDogs","Niagara IceDogs_2019"
"18_19","Greyhounds x - Sault Ste. Marie Greyhounds",68,44,16,96,0.706,292,224,0.223,0.822,"OHL",2019,"0","Sault Ste. Marie Greyhounds","Sault Ste. Marie Greyhounds_2019"
"18_19","Generals x - Oshawa Generals",68,44,20,92,0.676,288,216,0.245,0.819,"OHL",2019,"0","Oshawa Generals","Oshawa Generals_2019"
"18_19","Wolves x - Sudbury Wolves",68,43,20,91,0.669,254,206,0.136,0.833,"OHL",2019,"0","Sudbury Wolves","Sudbury Wolves_2019"
"18_19","Storm x - Guelph Storm",68,40,18,90,0.662,308,230,0.258,0.791,"OHL",2019,"0","Guelph Storm","Guelph Storm_2019"
"18_19","Rangers x - Kitchener Rangers",68,34,30,72,0.529,251,267,0.29,0.769,"OHL",2019,"0","Kitchener Rangers","Kitchener Rangers_2019"
"18_19","Steelheads x - Mississauga Steelheads",68,32,29,71,0.522,239,250,0.238,0.799,"OHL",2019,"0","Mississauga Steelheads","Mississauga Steelheads_2019"
"18_19","Petes x - Peterborough Petes",68,33,31,70,0.515,234,256,0.19,0.777,"OHL",2019,"0","Peterborough Petes","Peterborough Petes_2019"
"18_19","Attack x - Owen Sound Attack",68,31,31,68,0.5,224,274,0.198,0.762,"OHL",2019,"0","Owen Sound Attack","Owen Sound Attack_2019"
"18_19","Battalion x - North Bay Battalion",68,30,33,65,0.478,230,281,0.241,0.776,"OHL",2019,"0","North Bay Battalion","North Bay Battalion_2019"
"18_19","Bulldogs x - Hamilton Bulldogs",68,29,34,63,0.463,241,283,0.252,0.767,"OHL",2019,"0","Hamilton Bulldogs","Hamilton Bulldogs_2019"
"18_19","Sting x - Sarnia Sting",68,28,33,63,0.463,271,300,0.201,0.779,"OHL",2019,"0","Sarnia Sting","Sarnia Sting_2019"
"18_19","Spitfires x - Windsor Spitfires",68,25,33,60,0.441,216,257,0.18,0.799,"OHL",2019,"0","Windsor Spitfires","Windsor Spitfires_2019"
"18_19","Colts - Barrie Colts",68,26,38,56,0.412,221,245,0.208,0.772,"OHL",2019,"0","Barrie Colts","Barrie Colts_2019"
"18_19","Otters - Erie Otters",68,26,38,56,0.412,230,300,0.184,0.676,"OHL",2019,"0","Erie Otters","Erie Otters_2019"
"18_19","Firebirds - Flint Firebirds",68,16,46,38,0.279,212,350,0.159,0.709,"OHL",2019,"0","Flint Firebirds","Flint Firebirds_2019"
"18_19","Frontenacs - Kingston Frontenacs",68,14,52,30,0.221,144,307,0.158,0.726,"OHL",2019,"0","Kingston Frontenacs","Kingston Frontenacs_2019"
"21_22","Bulldogs xyz - Hamilton Bulldogs",68,51,12,107,0.787,300,176,0.276,0.809,"OHL",2022,"0","Hamilton Bulldogs","Hamilton Bulldogs_2022"
"21_22","Spitfires xy - Windsor Spitfires",68,44,17,95,0.699,305,248,0.261,0.826,"OHL",2022,"0","Windsor Spitfires","Windsor Spitfires_2022"
"21_22","Battalion xy - North Bay Battalion",68,43,18,93,0.684,267,198,0.259,0.806,"OHL",2022,"0","North Bay Battalion","North Bay Battalion_2022"
"21_22","Knights xy - London Knights",68,39,22,85,0.625,264,232,0.239,0.809,"OHL",2022,"0","London Knights","London Knights_2022"
"21_22","Firebirds x - Flint Firebirds",68,42,21,89,0.654,286,238,0.197,0.842,"OHL",2022,"0","Flint Firebirds","Flint Firebirds_2022"
"21_22","Frontenacs x - Kingston Frontenacs",68,41,22,87,0.64,285,242,0.253,0.798,"OHL",2022,"0","Kingston Frontenacs","Kingston Frontenacs_2022"
"21_22","Greyhounds x - Soo Greyhounds",68,39,22,85,0.625,295,246,0.284,0.787,"OHL",2022,"0","Soo Greyhounds","Soo Greyhounds_2022"
"21_22","Steelheads x - Mississauga Steelheads",68,37,23,82,0.603,229,189,0.209,0.812,"OHL",2022,"0","Mississauga Steelheads","Mississauga Steelheads_2022"
"21_22","Storm x - Guelph Storm",68,36,24,80,0.588,251,228,0.228,0.811,"OHL",2022,"0","Guelph Storm","Guelph Storm_2022"
"21_22","Attack x - Owen Sound Attack",68,34,26,76,0.559,235,245,0.18,0.757,"OHL",2022,"0","Owen Sound Attack","Owen Sound Attack_2022"
"21_22","Colts x - Barrie Colts",68,34,27,75,0.551,245,236,0.233,0.77,"OHL",2022,"0","Barrie Colts","Barrie Colts_2022"
"21_22","Rangers x - Kitchener Rangers",68,30,31,67,0.493,236,271,0.183,0.774,"OHL",2022,"0","Kitchener Rangers","Kitchener Rangers_2022"
"21_22","Generals x - Oshawa Generals",68,30,31,67,0.493,215,240,0.226,0.759,"OHL",2022,"0","Oshawa Generals","Oshawa Generals_2022"
"21_22","67 x - Ottawa 67's",68,28,31,65,0.478,199,250,0.176,0.761,"OHL",2022,"0","Ottawa 67's","Ottawa 67's_2022"
"21_22","Petes x - Peterborough Petes",68,29,33,64,0.471,240,281,0.229,0.743,"OHL",2022,"0","Peterborough Petes","Peterborough Petes_2022"
"21_22","Sting x - Sarnia Sting",68,27,36,59,0.434,234,279,0.195,0.729,"OHL",2022,"0","Sarnia Sting","Sarnia Sting_2022"
"21_22","Otters - Erie Otters",68,27,37,58,0.426,223,267,0.169,0.802,"OHL",2022,"0","Erie Otters","Erie Otters_2022"
"21_22","Wolves - Sudbury Wolves",68,23,38,53,0.39,223,297,0.16,0.754,"OHL",2022,"0","Sudbury Wolves","Sudbury Wolves_2022"
"21_22","Spirit - Saginaw Spirit",68,24,43,49,0.36,234,305,0.151,0.808,"OHL",2022,"0","Saginaw Spirit","Saginaw Spirit_2022"
"21_22","IceDogs - Niagara IceDogs",68,22,42,48,0.353,218,316,0.196,0.75,"OHL",2022,"0","Niagara IceDogs","Niagara IceDogs_2022"
"22_23","67 xyz - Ottawa 67's",68,51,12,107,0.787,286,171,0.237,0.841,"OHL",2023,"0","Ottawa 67's","Ottawa 67's_2023"
"22_23","Battalion xy - North Bay Battalion",68,48,17,99,0.728,285,183,0.229,0.87,"OHL",2023,"0","North Bay Battalion","North Bay Battalion_2023"
"22_23","Spitfires xy - Windsor Spitfires",68,44,18,94,0.691,320,265,0.259,0.767,"OHL",2023,"0","Windsor Spitfires","Windsor Spitfires_2023"
"22_23","Knights xy - London Knights",68,45,21,92,0.676,269,214,0.213,0.789,"OHL",2023,"0","London Knights","London Knights_2023"
"22_23","Colts x - Barrie Colts",68,42,17,93,0.684,284,239,0.253,0.816,"OHL",2023,"0","Barrie Colts","Barrie Colts_2023"
"22_23","Sting x - Sarnia Sting",68,41,18,91,0.669,298,224,0.26,0.814,"OHL",2023,"0","Sarnia Sting","Sarnia Sting_2023"
"22_23","Spirit x - Saginaw Spirit",68,36,27,77,0.566,244,244,0.238,0.788,"OHL",2023,"0","Saginaw Spirit","Saginaw Spirit_2023"
"22_23","Firebirds x - Flint Firebirds",68,35,28,75,0.551,291,278,0.202,0.783,"OHL",2023,"0","Flint Firebirds","Flint Firebirds_2023"
"22_23","Storm x - Guelph Storm",68,35,28,75,0.551,254,280,0.246,0.735,"OHL",2023,"0","Guelph Storm","Guelph Storm_2023"
"22_23","Petes x - Peterborough Petes",68,35,29,74,0.544,247,207,0.217,0.813,"OHL",2023,"0","Peterborough Petes","Peterborough Petes_2023"
"22_23","Attack x - Owen Sound Attack",68,33,28,73,0.537,248,258,0.195,0.771,"OHL",2023,"0","Owen Sound Attack","Owen Sound Attack_2023"
"22_23","Rangers x - Kitchener Rangers",68,33,29,72,0.529,257,240,0.211,0.774,"OHL",2023,"0","Kitchener Rangers","Kitchener Rangers_2023"
"22_23","Wolves x - Sudbury Wolves",68,31,28,71,0.522,272,260,0.17,0.753,"OHL",2023,"0","Sudbury Wolves","Sudbury Wolves_2023"
"22_23","Bulldogs x - Hamilton Bulldogs",68,33,30,71,0.522,226,251,0.207,0.773,"OHL",2023,"0","Hamilton Bulldogs","Hamilton Bulldogs_2023"
"22_23","Steelheads x - Mississauga Steelheads",68,31,31,68,0.5,226,258,0.199,0.732,"OHL",2023,"0","Mississauga Steelheads","Mississauga Steelheads_2023"
"22_23","Generals x - Oshawa Generals",68,26,36,58,0.426,235,290,0.256,0.78,"OHL",2023,"0","Oshawa Generals","Oshawa Generals_2023"
"22_23","Frontenacs - Kingston Frontenacs",68,27,38,57,0.419,199,260,0.178,0.754,"OHL",2023,"0","Kingston Frontenacs","Kingston Frontenacs_2023"
"22_23","Greyhounds - Soo Greyhounds",68,20,33,55,0.404,223,310,0.204,0.777,"OHL",2023,"0","Soo Greyhounds","Soo Greyhounds_2023"
"22_23","Otters - Erie Otters",68,21,40,49,0.36,207,287,0.178,0.76,"OHL",2023,"0","Erie Otters","Erie Otters_2023"
"22_23","IceDogs - Niagara IceDogs",68,12,47,33,0.243,199,357,0.211,0.744,"OHL",2023,"0","Niagara IceDogs","Niagara IceDogs_2023"
"23_24","Knights xyz - London Knights",68,50,14,104,0.765,322,197,0.326,0.85,"OHL",2024,"0","London Knights","London Knights_2024"
"23_24","Spirit xy - Saginaw Spirit",68,50,16,102,0.75,303,215,0.255,0.831,"OHL",2024,"1","Saginaw Spirit","Saginaw Spirit_2024"
"23_24","Greyhounds x - Soo Greyhounds",68,45,18,95,0.699,286,215,0.229,0.789,"OHL",2024,"0","Soo Greyhounds","Soo Greyhounds_2024"
"23_24","Generals xy - Oshawa Generals",68,40,19,89,0.654,273,204,0.215,0.832,"OHL",2024,"0","Oshawa Generals","Oshawa Generals_2024"
"23_24","Battalion xy - North Bay Battalion",68,39,20,87,0.64,300,240,0.228,0.823,"OHL",2024,"0","North Bay Battalion","North Bay Battalion_2024"
"23_24","Rangers x - Kitchener Rangers",68,41,23,86,0.632,290,225,0.23,0.825,"OHL",2024,"0","Kitchener Rangers","Kitchener Rangers_2024"
"23_24","Bulldogs x - Brantford Bulldogs",68,37,20,85,0.625,267,243,0.191,0.792,"OHL",2024,"0","Brantford Bulldogs","Brantford Bulldogs_2024"
"23_24","Steelheads x - Mississauga Steelheads",68,38,22,84,0.618,248,212,0.213,0.813,"OHL",2024,"0","Mississauga Steelheads","Mississauga Steelheads_2024"
"23_24","Wolves x - Sudbury Wolves",68,38,23,83,0.61,328,272,0.252,0.783,"OHL",2024,"0","Sudbury Wolves","Sudbury Wolves_2024"
"23_24","67 x - Ottawa 67's",68,36,24,80,0.588,253,228,0.213,0.766,"OHL",2024,"0","Ottawa 67's","Ottawa 67's_2024"
"23_24","Otters x - Erie Otters",68,33,28,73,0.537,254,270,0.206,0.75,"OHL",2024,"0","Erie Otters","Erie Otters_2024"
"23_24","Storm x - Guelph Storm",68,33,28,73,0.537,210,225,0.206,0.787,"OHL",2024,"0","Guelph Storm","Guelph Storm_2024"
"23_24","Frontenacs x - Kingston Frontenacs",68,33,31,70,0.515,247,272,0.237,0.795,"OHL",2024,"0","Kingston Frontenacs","Kingston Frontenacs_2024"
"23_24","Attack x - Owen Sound Attack",68,29,30,67,0.493,246,274,0.3,0.811,"OHL",2024,"0","Owen Sound Attack","Owen Sound Attack_2024"
"23_24","Firebirds x - Flint Firebirds",68,30,33,65,0.478,232,274,0.166,0.787,"OHL",2024,"0","Flint Firebirds","Flint Firebirds_2024"
"23_24","Colts x - Barrie Colts",68,28,36,60,0.441,234,283,0.163,0.662,"OHL",2024,"0","Barrie Colts","Barrie Colts_2024"
"23_24","Sting - Sarnia Sting",68,25,39,54,0.397,204,292,0.173,0.715,"OHL",2024,"0","Sarnia Sting","Sarnia Sting_2024"
"23_24","Petes - Peterborough Petes",68,20,40,48,0.353,183,296,0.163,0.772,"OHL",2024,"0","Peterborough Petes","Peterborough Petes_2024"
"23_24","Spitfires - Windsor Spitfires",68,18,42,44,0.324,247,360,0.21,0.746,"OHL",2024,"0","Windsor Spitfires","Windsor Spitfires_2024"
"23_24","IceDogs - Niagara IceDogs",68,17,43,42,0.309,193,323,0.1,0.759,"OHL",2024,"0","Niagara IceDogs","Niagara IceDogs_2024"
"97_98","Portland Winter Hawks",72,53,12,111,0.771,342,203,0.249,0.835,"WHL",1998,"1","Portland Winter Hawks","Portland Winter Hawks_1998"
"97_98","Regina Pats",72,46,20,97,0.674,334,250,0.222,0.815,"WHL",1998,"0","Regina Pats","Regina Pats_1998"
"97_98","Swift Current Broncos",72,44,18,97,0.674,276,220,0.243,0.823,"WHL",1998,"0","Swift Current Broncos","Swift Current Broncos_1998"
"97_98","Brandon Wheat Kings",72,45,20,96,0.667,322,235,0.272,0.814,"WHL",1998,"0","Brandon Wheat Kings","Brandon Wheat Kings_1998"
"97_98","Spokane Chiefs",72,45,23,94,0.653,288,235,0.228,0.824,"WHL",1998,"0","Spokane Chiefs","Spokane Chiefs_1998"
"97_98","Prince George Cougars",72,43,19,91,0.632,311,236,0.202,0.831,"WHL",1998,"0","Prince George Cougars","Prince George Cougars_1998"
"97_98","Calgary Hitmen",72,40,25,84,0.583,265,232,0.22,0.831,"WHL",1998,"0","Calgary Hitmen","Calgary Hitmen_1998"
"97_98","Kamloops Blazers",72,37,31,77,0.535,234,253,0.213,0.792,"WHL",1998,"0","Kamloops Blazers","Kamloops Blazers_1998"
"97_98","Lethbridge Hurricanes",72,32,29,75,0.521,261,237,0.184,0.822,"WHL",1998,"0","Lethbridge Hurricanes","Lethbridge Hurricanes_1998"
"97_98","Kelowna Rockets",72,33,31,70,0.486,313,290,0.224,0.81,"WHL",1998,"0","Kelowna Rockets","Kelowna Rockets_1998"
"97_98","Seattle Thunderbirds",72,31,34,68,0.472,286,278,0.206,0.748,"WHL",1998,"0","Seattle Thunderbirds","Seattle Thunderbirds_1998"
"97_98","Red Deer Rebels",72,27,36,59,0.41,281,323,0.215,0.746,"WHL",1998,"0","Red Deer Rebels","Red Deer Rebels_1998"
"97_98","Saskatoon Blades",72,25,38,58,0.403,263,327,0.214,0.768,"WHL",1998,"0","Saskatoon Blades","Saskatoon Blades_1998"
"97_98","Moose Jaw Warriors",72,23,36,56,0.389,235,281,0.206,0.747,"WHL",1998,"0","Moose Jaw Warriors","Moose Jaw Warriors_1998"
"97_98","Prince Albert Raiders",72,20,42,45,0.313,222,288,0.161,0.784,"WHL",1998,"0","Prince Albert Raiders","Prince Albert Raiders_1998"
"97_98","Edmonton Ice",72,17,43,40,0.278,242,328,0.149,0.752,"WHL",1998,"0","Edmonton Ice","Edmonton Ice_1998"
"97_98","Tri-City Americans",72,17,44,40,0.278,264,371,0.214,0.721,"WHL",1998,"0","City Americans","City Americans_1998"
"97_98","Medicine Hat Tigers",72,16,48,38,0.264,188,340,0.162,0.768,"WHL",1998,"0","Medicine Hat Tigers","Medicine Hat Tigers_1998"
"98_99","Calgary Hitmen",72,51,12,110,0.764,319,187,0.231,0.859,"WHL",1999,"0","Calgary Hitmen","Calgary Hitmen_1999"
"98_99","Kamloops Blazers",72,48,11,109,0.757,298,195,0.21,0.841,"WHL",1999,"0","Kamloops Blazers","Kamloops Blazers_1999"
"98_99","Prince Albert Raiders",72,45,20,95,0.66,288,213,0.191,0.819,"WHL",1999,"0","Prince Albert Raiders","Prince Albert Raiders_1999"
"98_99","Tri-City Americans",72,43,21,92,0.639,311,219,0.225,0.835,"WHL",1999,"0","City Americans","City Americans_1999"
"98_99","Seattle Thunderbirds",72,37,23,85,0.59,279,236,0.204,0.822,"WHL",1999,"0","Seattle Thunderbirds","Seattle Thunderbirds_1999"
"98_99","Brandon Wheat Kings",72,39,27,82,0.569,293,267,0.241,0.831,"WHL",1999,"0","Brandon Wheat Kings","Brandon Wheat Kings_1999"
"98_99","Moose Jaw Warriors",72,39,28,80,0.556,292,262,0.235,0.776,"WHL",1999,"0","Moose Jaw Warriors","Moose Jaw Warriors_1999"
