"X","Date","Period","Fighter1","Fighter1WinPct","Fighter1Team","Fighter2","Fighter2WinPct","Fighter2Team","playerId.x","position.x","team.x","Fighter1BirthDate","Fighter1Weight","Fighter1Height","nationality.x","shootsCatches.x","primaryNumber.x","primaryPosition.x","playerId.y","position.y","team.y","Fighter2BirthDate","Fighter2Weight","Fighter2Height","nationality.y","shootsCatches.y","primaryNumber.y","primaryPosition.y","Fighter1HeightInches","Fighter2HeightInches","HeightDiff","WeightDiff","Fighter1Age","Fighter2Age","AgeDiff","Win","Fighter1Handedness","Fighter2Handedness","HandednessDiff","Fighter1Position","Fighter2Position"
NA,2023-10-17,2,"Andreas Englund",0.98,"LAK","Dylan Samberg",0.03,"WPG",8477971,"D","LAK","1996-01-21",189,"6' 3""","SWE","L",39,"D",8480049,"D","WPG","1999-01-24",190,"6' 3""","USA","L",54,"D",75,75,0,-1,27.698678514468,24.6938938254728,3.00478468899522,1,"L","L",0,"D","D"
NA,2023-10-17,1,"Logan O'Connor",0.79,"COL","Jordan Eberle",0.13,"SEA",8481186,"R","COL","1996-08-14",175,"6' 0""","USA","R",25,"R",8474586,"R","SEA","1990-05-15",187,"5' 11""","CAN","R",7,"R",72,71,1,-12,27.1355661881978,33.3775347459558,-6.24196855775803,1,"R","R",0,"F","F"
NA,2023-10-17,2,"Jamie Benn",0.91,"DAL","Nicolas Hague",0.04,"VGK",8473994,"L","DAL","1989-07-18",205,"6' 2""","CAN","L",14,"L",8479980,"D","VGK","1998-12-05",215,"6' 6""","CAN","L",14,"D",74,78,-4,-10,34.2005012531328,24.8305992253361,9.36990202779676,1,"L","L",0,"F","D"
NA,2023-10-17,2,"Mason Marchment",0.85,"DAL","Ben Hutton",0.08,"VGK",8478975,"L","DAL","1995-06-18",212,"6' 5""","CAN","L",27,"L",8477018,"D","VGK","1993-04-20",206,"6' 2""","CAN","L",27,"D",77,74,3,6,28.2920938710412,30.449305080884,-2.15721120984279,1,"L","L",0,"F","D"
NA,2023-10-18,2,"Tom Wilson",0.39,"WSH","Mark Kastelic",0.2,"OTT",8476880,"R","WSH","1994-03-29",218,"6' 4""","CAN","R",43,"R",8480355,"C","BOS","1999-03-11",210,"6' 3""","USA","R",47,"C",76,75,1,8,29.5141262246525,24.5708589655958,4.94326725905673,1,"R","R",0,"F","F"
NA,2023-10-18,2,"Marcus Pettersson",0.13,"PIT","Dylan Larkin",0.17,"DET",8477969,"D","PIT","1996-05-08",177,"6' 3""","SWE","L",28,"D",8477946,"C","DET","1996-07-30",198,"6' 1""","USA","L",71,"C",75,73,2,-21,27.4062428799271,27.179311916154,0.226930963773064,0,"L","L",0,"D","F"
NA,2023-10-19,2,"Mark Friedman",0,"VAN","Tanner Jeannot",0.96,"TBL",8478017,"D","VAN","1995-12-25",185,"5' 11""","CAN","R",59,"D",8479661,"L","LAK","1997-05-29",208,"6' 2""","CAN","L",84,"L",71,74,-3,-23,27.7779676463887,26.3536113009797,1.42435634540898,0,"R","L",1,"D","F"
NA,2023-10-19,3,"Brendan Lemieux",0.94,"CAR","Tye Kartye",0.03,"SEA",8477962,"L","CAR","1996-03-15",210,"6' 1""","USA","L",48,"L",8481789,"L","SEA","2001-04-30",202,"5' 11""","CAN","L",52,"L",73,71,2,8,27.5565048986102,22.438368648895,5.1181362497152,1,"L","L",0,"F","F"
NA,2023-10-20,1,"Nazem Kadri",0.18,"CGY","Cole Sillinger",0.43,"CBJ",8475172,"C","CGY","1990-10-06",192,"6' 0""","CAN","L",43,"C",8482705,"C","CBJ","2003-05-16",203,"6' 2""","USA","L",34,"C",72,74,-2,-11,32.9920255183413,20.4014581909319,12.5905673274094,0,"L","L",0,"F","F"
NA,2023-10-21,3,"Michael Rasmussen",0.18,"DET","Brady Tkachuk",0.39,"OTT",8479992,"C","DET","1999-04-17",221,"6' 6""","CAN","L",27,"C",8480801,"L","OTT","1999-09-16",196,"6' 3""","USA","L",7,"L",78,75,3,25,24.4780132148553,24.0624287992709,0.415584415584412,0,"L","L",0,"F","F"
NA,2023-10-21,2,"Ross Johnston",0.81,"ANA","Liam O'Brien",0.03,"ARI",8477527,"L","ANA","1994-02-18",235,"6' 5""","CAN","L",32,"L",8477070,"C","UTA","1994-07-29",215,"6' 1""","CAN","L",87,"C",77,73,4,20,29.6289587605377,29.1888812941445,0.440077466393252,1,"L","L",0,"F","F"
